symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
AMZNUSDT,22861,22866,1770823800,1770829200,SHORT,TRAIL,206.5215,203.326,200.297,209.6193225,1.190153842077545,1.056820508744212,0.13333333333333305,16,1.63,39.64,0.3961776382605496,0.007514977975009794,1.6293348084931023,base,adaptive disabled,1.0,84.5,90,100,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1,0,0.425,range
AMZNUSDT,22862,22866,1770824700,1770829200,SHORT,TRAIL,206.5215,203.326,200.297,209.6193225,1.1919031041903605,1.0585697708570274,0.13333333333333305,16,1.52,37.88,0.40491355777980054,0.006444098311329975,1.398436389733152,base,adaptive disabled,1.0,84.5,90,100,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1,0,0.35,range
MUUSDT,22884,22889,1770907500,1770912900,LONG,SL,420.4565,435.446,437.437,414.1496525,-1.0,-1.1333333333333333,0.13333333333333328,14,1.57,71.24,0.5428392745465908,0.03345121413925798,3.8023194965863527,base,adaptive disabled,1.25,80.5,90,80,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.375,bull
METAUSDT,22891,22909,1770913800,1770993900,SHORT,TRAIL,651.436,644.595922,631.89292,661.20754,1.0128044221053933,0.8794710887720595,0.1333333333333339,14,1.5,29.45,0.31649402773438196,0.006916564105818645,1.5905871697842648,base,adaptive disabled,1.25,83.9,90,97,70,80,MIDDAY,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0.5,bear
SPYUSDT,22935,22939,1771338600,1771343100,SHORT,TRAIL,681.6565,676.177,670.71496281,687.1272686,0.8978846995659703,0.6486851629597212,0.24919953660624908,15,1.53,36.16,0.22141159111402628,0.002781575743312005,1.1306435237031816,base,adaptive disabled,1.15,75.7,90,86,50,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.55,bull
AAPLUSDT,23012,23013,1771533900,1771598700,SHORT,TRAIL,261.942,258.336,255.387,264.82450418,1.1756266550462755,0.9938805179079773,0.1817461371382982,14,1.67,30.79,0.5573878627968363,0.0029459376737774007,0.9999223157939433,base,adaptive disabled,1.15,81.5,90,100,60,80,CLOSE,bearish,bearish,OB,BOS bearish | Vol 1.7x | FVG | OB | ChoCH | BearWick | Session:CLOSE | StrongTrend1h | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15,0,0.525,bear
XAUUSDT,15249,15250,1771597800,1771599600,LONG,TRAIL,5034.34,5057.27959427,5099.8816979,5001.56915105,0.8505499920761795,0.5433049763806073,0.3072450156955723,15,3.29,68.7,0.22043356943550224,0.002213031226894123,1.2361723829440214,base,adaptive disabled,1.25,87.7,90,86,90,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 3.3x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.4,range
MSFTUSDT,23014,23038,1771598700,1771857000,SHORT,TP2,397.391,392.927,388.87334682,401.64982659,2.0000000000000266,1.8133800512408524,0.18661994875917415,14,1.89,36.76,0.36712627715504154,0.005525674718802852,2.1136077719840727,base,adaptive disabled,1.0,82.5,90,90,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | LiqSweep | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1,0,0.425,range
XAUUSDT,15250,15250,1771598700,1771599600,LONG,SL,5046.415,5077.84605182,5136.21800519,5001.5134974,-1.0,-1.2247771102430782,0.22477711024307814,16,2.06,69.44,0.2962059019303275,0.0023249344080053247,1.2665897940512805,base,adaptive disabled,1.25,83.5,90,95,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | Engulfing | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.375,range
XAGUSDT,15257,15260,1771602300,1771605900,LONG,TRAIL,81.58,82.43659,84.0274,80.3563,0.6923673893798339,0.5590340560464999,0.133333333333334,16,1.94,62.27,0.16956670078471275,0.013597237216999056,2.8967302229222325,base,adaptive disabled,1.25,78.5,90,70,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.9x | FVG | LiqSweep | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.65,range
