symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
XAGUSDT,6287,6290,1758290400,1758294000,LONG,TRAIL,42.247,42.59987702,42.95275404,41.89412298,1.4654875930682034,1.1063228052902983,0.35916478777790517,17,2.19,64.56,0.16483516483516436,0.0036518831898303874,1.8512847842851992,base,adaptive disabled,1.25,84.3,90,69,90,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.575,range
NVDAUSDT,20570,20592,1758291300,1758547800,LONG,SL,177.061,179.33712351,181.61324703,174.78487649,-1.0,-1.2333717821841732,0.23337178218417312,16,1.71,68.52,0.3409546730846354,0.004981285426820606,1.359684324431393,base,adaptive disabled,1.25,78.5,90,100,50,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,bull
NVDAUSDT,20571,20592,1758292200,1758547800,LONG,SL,177.061,179.33743612,181.61387224,174.78456388,-1.0,-1.233339734567206,0.23333973456720594,17,1.54,63.64,0.22970903522205036,0.005014523771461283,1.3542073002360628,base,adaptive disabled,1.25,81.9,90,87,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bull
BZUSDT,8062,8136,1758295800,1758546900,SHORT,TRAIL,66.781,65.98152618,65.18205236,67.58047382,0.9973533008938552,0.7467597292369336,0.25059357165692164,16,2.41,34.98,0.29411764705882354,0.003803675577898165,1.7827268851906994,base,adaptive disabled,1.15,83.5,90,95,70,80,MIDDAY,bearish,bearish,FVG,BOS bearish | Vol 2.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15,0,0.375,bear
CLUSDT,6379,6453,1758295800,1758539700,SHORT,TRAIL,62.5785,61.85218427,61.12586855,63.30481573,0.9094602454123534,0.6509838112037769,0.25847643420857647,15,1.93,37.11,0.22388059701492408,0.004326595253288062,1.8313483759639013,base,adaptive disabled,1.15,73.7,90,76,50,80,MIDDAY,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15,0,0.425,bear
SPYUSDT,20592,20597,1758311100,1758552300,LONG,TRAIL,661.9015,664.549106,667.196712,659.253894,1.1595129014905248,0.40951290149055575,0.749999999999969,14,1.8,62.92,0.3884107860011515,0.0011763792189594957,1.1467915516334821,base,adaptive disabled,1.25,78.5,90,100,50,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bear
SPYUSDT,20619,20634,1758634200,1758648600,LONG,SL,665.557,668.219228,670.881456,662.894772,-1.0,-1.7499999999999925,0.7499999999999923,15,2.73,66.51,0.4252520824199772,0.0008993540019986091,1.2459063239412065,base,adaptive disabled,1.15,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | TrendPairRisk:1.15,0,0.575,range
SPYUSDT,20620,20634,1758635100,1758648600,LONG,SL,665.557,668.219228,670.881456,662.894772,-1.0,-1.7499999999999925,0.7499999999999923,15,2.33,67.89,0.42537804076263913,0.0009543216635329145,1.3220549339053138,base,adaptive disabled,1.15,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.3x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | TrendPairRisk:1.15,0,0.525,range
BZUSDT,8306,8410,1758720600,1758825900,LONG,TRAIL,68.44,69.4586421,70.47728419,67.4213579,1.1384557454960174,0.9368932928936743,0.2015624526023431,14,1.65,66.37,0.6709372892784907,0.002217564124281868,1.4306878943554133,base,adaptive disabled,1.25,78.5,90,100,50,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | Engulfing | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | Engulfing+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.575,range
BZUSDT,8312,8409,1758726000,1758825000,LONG,TRAIL,68.664,69.41741511,70.17083022,67.91058489,1.1883123022070898,0.9149012738564659,0.27341102835062386,15,2.37,71.68,0.43787878787879236,0.004001907120357658,2.2034891034683923,base,adaptive disabled,1.25,88.5,90,90,90,80,MIDDAY,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.6,range
