symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,size_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,bos_extension_atr,bos_candles_ago,overhead_atr,underfoot_atr,buy_pressure,accel_ratio,absorption,signals,score_tags,premium,knn_score,swing_trend
SKHYNIXUSDT,188,190,1781721900,1781724600,LONG,SL,1701.37,1726.89055,1777.93165,1675.84945,-1.1367309873807594,-1.270064320714093,0.13333333333333355,13,2.2,64.75,0.46968916366134383,0.017961557635226267,2.12202973776186,base,adaptive disabled,1.15,1.0,73.8,65,90,70,80,CLOSE,bullish,neutral,FVG,0.3,1,-1.0,4.789,0.1196,0.241,1.135,BOS bullish | Vol 2.2x | FVG | ChoCH | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | RelStrengthRisk:1.15,0,0.5,bear
SPYUSDT,188,191,1781721900,1781725500,SHORT,TRAIL,748.7,744.27548994,735.42646982,753.12451006,2.0570457461367266,1.7186127943083824,0.3384329518283441,15,3.44,38.37,0.18006286484059247,0.0053387606184516975,5.992479903732108,base,adaptive disabled,1.0,1.0,74.0,65,61,90,80,CLOSE,bearish,neutral,FVG,1.073,3,3.043,-1.0,0.0841,0.0,1.322,BOS bearish | Vol 3.4x | FVG | Engulfing | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | Engulfing+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1,0,0.525,bear
NVDAUSDT,191,264,1781724600,1781791200,SHORT,SL,205.49,202.40765,196.24295,208.57235,-1.0803445423134925,-1.2136778756468263,0.13333333333333372,14,1.85,31.85,0.28956228956229085,0.0070740399070713155,3.4896912579684707,base,adaptive disabled,1.15,1.0,70.5,65,74,70,80,CLOSE,bearish,neutral,FVG,2.046,1,4.946,-1.0,-0.033,8.556,1.211,BOS bearish | Vol 1.9x | FVG | ChoCH | Engulfing | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15,0,0.625,range
XAGUSDT,192,208,1781725500,1781740800,SHORT,SL,67.545,66.531825,64.505475,68.558175,-1.2485503491499452,-1.381883682483278,0.13333333333333283,14,1.34,28.16,0.3857142857142855,0.011388404753878083,3.317347401436356,base,adaptive disabled,1.15,1.0,65.8,65,80,50,80,CLOSE,bearish,neutral,FVG,5.22,7,5.159,-1.0,-0.3364,0.0,1.913,BOS bearish | Vol 1.3x | FVG | MACD_Div | ChoCH | BearWick | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15,0,0.425,bull
DRAMUSDT,210,225,1781741700,1781756100,LONG,TRAIL,72.925,74.018875,76.206625,71.831125,1.4465137904217544,1.3131804570884207,0.1333333333333337,13,1.39,67.8,0.2529711375212215,0.009891478850615839,1.3042364477230064,base,adaptive disabled,1.15,1.0,67.8,65,90,50,80,OFF,bullish,neutral,FVG,2.946,8,-1.0,5.624,0.2126,0.0,2.15,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | RelStrengthRisk:1.15,0,0.5,range
SAMSUNGUSDT,210,212,1781741700,1781744400,LONG,TRAIL,227.4,230.811,237.633,223.989,2.003134078048879,1.8698007447155458,0.1333333333333333,13,1.82,65.5,0.3115577889447243,0.00831181718975938,1.4139463452510623,base,adaptive disabled,1.15,1.0,69.2,65,97,50,80,OFF,bullish,neutral,FVG,0.146,1,0.388,5.273,-0.1034,0.0,1.574,BOS bullish | Vol 1.8x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | RelStrengthRisk:1.15,0,0.5,bear
SKHYNIXUSDT,212,221,1781743500,1781752500,LONG,TRAIL,1707.765,1747.28,1784.614425,1682.148525,1.6786809946940329,1.5453476613606998,0.13333333333333316,18,2.6,55.88,0.2394492666866202,0.01452926010425414,1.5749828162317938,base,adaptive disabled,1.15,1.0,79.3,65,88,90,80,OFF,bullish,neutral,FVG,1.591,1,1.591,4.821,0.1951,0.939,1.488,BOS bullish | Vol 2.6x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 18 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0.575,bull
EWYUSDT,225,264,1781755200,1781791200,LONG,TRAIL,212.94,216.1341,222.5223,209.7459,1.0043682383479124,0.8710349050145788,0.13333333333333366,14,3.01,66.67,0.28934817170111243,0.003997542555737781,0.8340472788295303,base,adaptive disabled,1.15,1.0,80.5,65,94,90,80,OFF,bullish,neutral,FVG,1.021,1,-1.0,7.791,0.166,6.0,2.667,BOS bullish | Vol 3.0x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | QualityRisk:1.15,0,0.6,range
BZUSDT,226,234,1781756100,1781764200,SHORT,TRAIL,78.085,77.12384008,75.20152023,79.04615992,1.4837597521275894,1.2400386032057744,0.2437211489218152,14,1.46,28.2,0.49222797927461476,0.0019243046428287927,0.6878514414193159,base,adaptive disabled,1.15,1.5,73.8,65,90,70,80,OFF,bearish,neutral,FVG,1.507,2,20.582,0.659,-0.2775,1.021,1.344,BOS bearish | Vol 1.5x | FVG | ChoCH | BearWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | QualityRisk:1.15,0,0.675,bear
CLUSDT,226,264,1781756100,1781791200,SHORT,TRAIL,74.595,73.51586807,71.3576042,75.67413193,1.9321567883170294,1.7247817734752398,0.20737501484178994,15,2.53,28.46,0.4976303317535533,0.0026408331655439488,0.7401179468036209,base,adaptive disabled,1.15,1.5,79.8,65,90,90,80,OFF,bearish,neutral,FVG,1.49,4,19.012,0.524,-0.2873,1.386,2.326,BOS bearish | Vol 2.5x | FVG | ChoCH | BearWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF | Strong1h+1 | QualityRisk:1.15,0,0.75,bear
